Year,CCoal,CPetroleum,CGas,CTotal,Sname
1998,0.228,1.719,15.814,17.761,kansas
1999,0.054,1.68,13.174,14.908,kansas
2000,0.047,1.816,12.504,14.367,kansas
2001,0,1.602,13.243,14.845,kansas
2002,0,1.344,12.887,14.232,kansas
2003,0,1.399,12.604,14.003,kansas
2004,0.016,1.57,12.533,14.118,kansas
2005,0.038,1.537,12.653,14.228,kansas
2006,0.003,1.181,13.264,14.448,kansas
2007,0,1.369,13.709,15.078,kansas
2008,0,1.928,13.688,15.616,kansas
2009,0,2.082,13.501,15.583,kansas
2010,0,2.632,13.441,16.073,kansas
2011,0,2.386,13.31,15.696,kansas
2012,0,2.208,13.703,15.911,kansas
2013,0,2.069,13.874,15.943,kansas
2014,0,2.108,12.968,15.075,kansas
2015,0,5.645,12.971,18.616,kansas
2016,0,5.852,13.017,18.869,kansas
2017,0,5.927,13.041,18.968,kansas
1980,0.007,5.867,14.294,20.167,kentucky
1981,0.004,8.373,13.125,21.502,kentucky
1982,0.004,5.588,13.123,18.714,kentucky
1983,0.004,4.257,11.924,16.184,kentucky
1984,0.059,5.067,10.563,15.69,kentucky
1985,0.091,2.66,11.298,14.048,kentucky
1986,0,3.919,10.053,13.972,kentucky
1987,0.001,4.344,11.59,15.935,kentucky
1988,0.011,4.029,13.559,17.598,kentucky
1989,0.018,3.496,14.292,17.806,kentucky
1990,0.044,3.324,15.61,18.978,kentucky
1991,0.079,3.39,15.662,19.13,kentucky
1992,0,1.903,15.523,17.427,kentucky
1993,0.253,1.483,13.785,15.521,kentucky
1994,0.308,1.443,14.168,15.918,kentucky
1995,0.252,1.8,14.952,17.005,kentucky
1996,0.34,1.504,12.899,14.743,kentucky
1997,0.209,1.429,13.703,15.341,kentucky
1998,0.228,1.719,15.814,17.761,kentucky
1999,0.054,1.68,13.174,14.908,kentucky
2000,0.047,1.816,12.504,14.367,kentucky
2001,0,1.602,13.243,14.845,kentucky
2002,0,1.344,12.887,14.232,kentucky
2003,0,1.399,12.604,14.003,kentucky
2004,0.016,1.57,12.533,14.118,kentucky
2005,0.038,1.537,12.653,14.228,kentucky
2006,0.003,1.181,13.264,14.448,kentucky
2007,0,1.369,13.709,15.078,kentucky
2008,0,1.928,13.688,15.616,kentucky
2009,0,2.082,13.501,15.583,kentucky
2010,0,2.632,13.441,16.073,kentucky
2011,0,2.386,13.31,15.696,kentucky
2012,0,2.208,13.703,15.911,kentucky
2013,0,2.069,13.874,15.943,kentucky
2014,0,2.108,12.968,15.075,kentucky
2015,0,5.645,12.971,18.616,kentucky
2016,0,5.852,13.017,18.869,kentucky
2017,0,5.927,13.041,18.968,kentucky
1980,0.007,5.867,14.294,20.167,louisiana
1981,0.004,8.373,13.125,21.502,louisiana
1982,0.004,5.588,13.123,18.714,louisiana
1983,0.004,4.257,11.924,16.184,louisiana
1984,0.059,5.067,10.563,15.69,louisiana
1985,0.091,2.66,11.298,14.048,louisiana
1986,0,3.919,10.053,13.972,louisiana
1987,0.001,4.344,11.59,15.935,louisiana
1988,0.011,4.029,13.559,17.598,louisiana
1989,0.018,3.496,14.292,17.806,louisiana
1990,0.044,3.324,15.61,18.978,louisiana
1991,0.079,3.39,15.662,19.13,louisiana
1992,0,1.903,15.523,17.427,louisiana
1993,0.253,1.483,13.785,15.521,louisiana
1994,0.308,1.443,14.168,15.918,louisiana
1995,0.252,1.8,14.952,17.005,louisiana
1996,0.34,1.504,12.899,14.743,louisiana
1997,0.209,1.429,13.703,15.341,louisiana
1998,0.228,1.719,15.814,17.761,louisiana
1999,0.054,1.68,13.174,14.908,louisiana
2000,0.047,1.816,12.504,14.367,louisiana
2001,0,1.602,13.243,14.845,louisiana
2002,0,1.344,12.887,14.232,louisiana
2003,0,1.399,12.604,14.003,louisiana
2004,0.016,1.57,12.533,14.118,louisiana
2005,0.038,1.537,12.653,14.228,louisiana
2006,0.003,1.181,13.264,14.448,louisiana
2007,0,1.369,13.709,15.078,louisiana
2008,0,1.928,13.688,15.616,louisiana
2009,0,2.082,13.501,15.583,louisiana
2010,0,2.632,13.441,16.073,louisiana
2011,0,2.386,13.31,15.696,louisiana
2012,0,2.208,13.703,15.911,louisiana
2013,0,2.069,13.874,15.943,louisiana
2014,0,2.108,12.968,15.075,louisiana
2015,0,5.645,12.971,18.616,louisiana
2016,0,5.852,13.017,18.869,louisiana
2017,0,5.927,13.041,18.968,louisiana
1980,0.007,5.867,14.294,20.167,maine
1981,0.004,8.373,13.125,21.502,maine
1982,0.004,5.588,13.123,18.714,maine
1983,0.004,4.257,11.924,16.184,maine
1984,0.059,5.067,10.563,15.69,maine
1985,0.091,2.66,11.298,14.048,maine
1986,0,3.919,10.053,13.972,maine
1987,0.001,4.344,11.59,15.935,maine
1988,0.011,4.029,13.559,17.598,maine
1989,0.018,3.496,14.292,17.806,maine
1990,0.044,3.324,15.61,18.978,maine
1991,0.079,3.39,15.662,19.13,maine
1992,0,1.903,15.523,17.427,maine
1993,0.253,1.483,13.785,15.521,maine
1994,0.308,1.443,14.168,15.918,maine
1995,0.252,1.8,14.952,17.005,maine
1996,0.34,1.504,12.899,14.743,maine
1997,0.209,1.429,13.703,15.341,maine
1998,0.228,1.719,15.814,17.761,maine
1999,0.054,1.68,13.174,14.908,maine
2000,0.047,1.816,12.504,14.367,maine
2001,0,1.602,13.243,14.845,maine
2002,0,1.344,12.887,14.232,maine
2003,0,1.399,12.604,14.003,maine
2004,0.016,1.57,12.533,14.118,maine
2005,0.038,1.537,12.653,14.228,maine
2006,0.003,1.181,13.264,14.448,maine
2007,0,1.369,13.709,15.078,maine
2008,0,1.928,13.688,15.616,maine
2009,0,2.082,13.501,15.583,maine
2010,0,2.632,13.441,16.073,maine
2011,0,2.386,13.31,15.696,maine
2012,0,2.208,13.703,15.911,maine
2013,0,2.069,13.874,15.943,maine
2014,0,2.108,12.968,15.075,maine
2015,0,5.645,12.971,18.616,maine
2016,0,5.852,13.017,18.869,maine
2017,0,5.927,13.041,18.968,maine
1980,0.007,5.867,14.294,20.167,maryland
1981,0.004,8.373,13.125,21.502,maryland
1982,0.004,5.588,13.123,18.714,maryland
1983,0.004,4.257,11.924,16.184,maryland
1984,0.059,5.067,10.563,15.69,maryland
1985,0.091,2.66,11.298,14.048,maryland
1986,0,3.919,10.053,13.972,maryland
1987,0.001,4.344,11.59,15.935,maryland
1988,0.011,4.029,13.559,17.598,maryland
1989,0.018,3.496,14.292,17.806,maryland
1990,0.044,3.324,15.61,18.978,maryland
1991,0.079,3.39,15.662,19.13,maryland
1992,0,1.903,15.523,17.427,maryland
1993,0.253,1.483,13.785,15.521,maryland
1994,0.308,1.443,14.168,15.918,maryland
1995,0.252,1.8,14.952,17.005,maryland
1996,0.34,1.504,12.899,14.743,maryland
1997,0.209,1.429,13.703,15.341,maryland
1998,0.228,1.719,15.814,17.761,maryland
1999,0.054,1.68,13.174,14.908,maryland
2000,0.047,1.816,12.504,14.367,maryland
2001,0,1.602,13.243,14.845,maryland
2002,0,1.344,12.887,14.232,maryland
2003,0,1.399,12.604,14.003,maryland
2004,0.016,1.57,12.533,14.118,maryland
2005,0.038,1.537,12.653,14.228,maryland
2006,0.003,1.181,13.264,14.448,maryland
2007,0,1.369,13.709,15.078,maryland
2008,0,1.928,13.688,15.616,maryland
2009,0,2.082,13.501,15.583,maryland
2010,0,2.632,13.441,16.073,maryland
2011,0,2.386,13.31,15.696,maryland
2012,0,2.208,13.703,15.911,maryland
2013,0,2.069,13.874,15.943,maryland
2014,0,2.108,12.968,15.075,maryland
2015,0,5.645,12.971,18.616,maryland
2016,0,5.852,13.017,18.869,maryland
2017,0,5.927,13.041,18.968,maryland
1980,0.007,5.867,14.294,20.167,massachusetts
1981,0.004,8.373,13.125,21.502,massachusetts
1982,0.004,5.588,13.123,18.714,massachusetts
1983,0.004,4.257,11.924,16.184,massachusetts
1984,0.059,5.067,10.563,15.69,massachusetts
1985,0.091,2.66,11.298,14.048,massachusetts
1986,0,3.919,10.053,13.972,massachusetts
1987,0.001,4.344,11.59,15.935,massachusetts
1988,0.011,4.029,13.559,17.598,massachusetts
1989,0.018,3.496,14.292,17.806,massachusetts
1990,0.044,3.324,15.61,18.978,massachusetts
1991,0.079,3.39,15.662,19.13,massachusetts
1992,0,1.903,15.523,17.427,massachusetts
1993,0.253,1.483,13.785,15.521,massachusetts
1994,0.308,1.443,14.168,15.918,massachusetts
1995,0.252,1.8,14.952,17.005,massachusetts
1996,0.34,1.504,12.899,14.743,massachusetts
1997,0.209,1.429,13.703,15.341,massachusetts
1998,0.228,1.719,15.814,17.761,massachusetts
1999,0.054,1.68,13.174,14.908,massachusetts
2000,0.047,1.816,12.504,14.367,massachusetts
2001,0,1.602,13.243,14.845,massachusetts
2002,0,1.344,12.887,14.232,massachusetts
2003,0,1.399,12.604,14.003,massachusetts
2004,0.016,1.57,12.533,14.118,massachusetts
2005,0.038,1.537,12.653,14.228,massachusetts
2006,0.003,1.181,13.264,14.448,massachusetts
2007,0,1.369,13.709,15.078,massachusetts
2008,0,1.928,13.688,15.616,massachusetts
2009,0,2.082,13.501,15.583,massachusetts
2010,0,2.632,13.441,16.073,massachusetts
2011,0,2.386,13.31,15.696,massachusetts
2012,0,2.208,13.703,15.911,massachusetts
2013,0,2.069,13.874,15.943,massachusetts
2014,0,2.108,12.968,15.075,massachusetts
2015,0,5.645,12.971,18.616,massachusetts
2016,0,5.852,13.017,18.869,massachusetts
2017,0,5.927,13.041,18.968,massachusetts
1980,0.007,5.867,14.294,20.167,michigan
1981,0.004,8.373,13.125,21.502,michigan
1982,0.004,5.588,13.123,18.714,michigan
1983,0.004,4.257,11.924,16.184,michigan
1984,0.059,5.067,10.563,15.69,michigan
1985,0.091,2.66,11.298,14.048,michigan
1986,0,3.919,10.053,13.972,michigan
1987,0.001,4.344,11.59,15.935,michigan
1988,0.011,4.029,13.559,17.598,michigan
1989,0.018,3.496,14.292,17.806,michigan
1990,0.044,3.324,15.61,18.978,michigan
1991,0.079,3.39,15.662,19.13,michigan
1992,0,1.903,15.523,17.427,michigan
1993,0.253,1.483,13.785,15.521,michigan
1994,0.308,1.443,14.168,15.918,michigan
1995,0.252,1.8,14.952,17.005,michigan
1996,0.34,1.504,12.899,14.743,michigan
1997,0.209,1.429,13.703,15.341,michigan
1998,0.228,1.719,15.814,17.761,michigan
1999,0.054,1.68,13.174,14.908,michigan
2000,0.047,1.816,12.504,14.367,michigan
2001,0,1.602,13.243,14.845,michigan
2002,0,1.344,12.887,14.232,michigan
2003,0,1.399,12.604,14.003,michigan
2004,0.016,1.57,12.533,14.118,michigan
2005,0.038,1.537,12.653,14.228,michigan
2006,0.003,1.181,13.264,14.448,michigan
2007,0,1.369,13.709,15.078,michigan
2008,0,1.928,13.688,15.616,michigan
2009,0,2.082,13.501,15.583,michigan
2010,0,2.632,13.441,16.073,michigan
2011,0,2.386,13.31,15.696,michigan
2012,0,2.208,13.703,15.911,michigan
2013,0,2.069,13.874,15.943,michigan
2014,0,2.108,12.968,15.075,michigan
2015,0,5.645,12.971,18.616,michigan
2016,0,5.852,13.017,18.869,michigan
2017,0,5.927,13.041,18.968,michigan
1980,0.007,5.867,14.294,20.167,minnesota
1981,0.004,8.373,13.125,21.502,minnesota
1982,0.004,5.588,13.123,18.714,minnesota
1983,0.004,4.257,11.924,16.184,minnesota
1984,0.059,5.067,10.563,15.69,minnesota
1985,0.091,2.66,11.298,14.048,minnesota
1986,0,3.919,10.053,13.972,minnesota
1987,0.001,4.344,11.59,15.935,minnesota
1988,0.011,4.029,13.559,17.598,minnesota
1989,0.018,3.496,14.292,17.806,minnesota
1990,0.044,3.324,15.61,18.978,minnesota
1991,0.079,3.39,15.662,19.13,minnesota
1992,0,1.903,15.523,17.427,minnesota
1993,0.253,1.483,13.785,15.521,minnesota
1994,0.308,1.443,14.168,15.918,minnesota
1995,0.252,1.8,14.952,17.005,minnesota
1996,0.34,1.504,12.899,14.743,minnesota
1997,0.209,1.429,13.703,15.341,minnesota
1998,0.228,1.719,15.814,17.761,minnesota
1999,0.054,1.68,13.174,14.908,minnesota
2000,0.047,1.816,12.504,14.367,minnesota
2001,0,1.602,13.243,14.845,minnesota
2002,0,1.344,12.887,14.232,minnesota
2003,0,1.399,12.604,14.003,minnesota
2004,0.016,1.57,12.533,14.118,minnesota
2005,0.038,1.537,12.653,14.228,minnesota
2006,0.003,1.181,13.264,14.448,minnesota
2007,0,1.369,13.709,15.078,minnesota
2008,0,1.928,13.688,15.616,minnesota
2009,0,2.082,13.501,15.583,minnesota
2010,0,2.632,13.441,16.073,minnesota
2011,0,2.386,13.31,15.696,minnesota
2012,0,2.208,13.703,15.911,minnesota
2013,0,2.069,13.874,15.943,minnesota
2014,0,2.108,12.968,15.075,minnesota
2015,0,5.645,12.971,18.616,minnesota
2016,0,5.852,13.017,18.869,minnesota
2017,0,5.927,13.041,18.968,minnesota
1980,0.007,5.867,14.294,20.167,mississippi
1981,0.004,8.373,13.125,21.502,mississippi
1982,0.004,5.588,13.123,18.714,mississippi
1983,0.004,4.257,11.924,16.184,mississippi
1984,0.059,5.067,10.563,15.69,mississippi
1985,0.091,2.66,11.298,14.048,mississippi
1986,0,3.919,10.053,13.972,mississippi
1987,0.001,4.344,11.59,15.935,mississippi
1988,0.011,4.029,13.559,17.598,mississippi
1989,0.018,3.496,14.292,17.806,mississippi
1990,0.044,3.324,15.61,18.978,mississippi
1991,0.079,3.39,15.662,19.13,mississippi
1992,0,1.903,15.523,17.427,mississippi
1993,0.253,1.483,13.785,15.521,mississippi
1994,0.308,1.443,14.168,15.918,mississippi
1995,0.252,1.8,14.952,17.005,mississippi
1996,0.34,1.504,12.899,14.743,mississippi
1997,0.209,1.429,13.703,15.341,mississippi
1998,0.228,1.719,15.814,17.761,mississippi
1999,0.054,1.68,13.174,14.908,mississippi
2000,0.047,1.816,12.504,14.367,mississippi
2001,0,1.602,13.243,14.845,mississippi
2002,0,1.344,12.887,14.232,mississippi
2003,0,1.399,12.604,14.003,mississippi
2004,0.016,1.57,12.533,14.118,mississippi
2005,0.038,1.537,12.653,14.228,mississippi
2006,0.003,1.181,13.264,14.448,mississippi
2007,0,1.369,13.709,15.078,mississippi
2008,0,1.928,13.688,15.616,mississippi
2009,0,2.082,13.501,15.583,mississippi
2010,0,2.632,13.441,16.073,mississippi
2011,0,2.386,13.31,15.696,mississippi
2012,0,2.208,13.703,15.911,mississippi
2013,0,2.069,13.874,15.943,mississippi
2014,0,2.108,12.968,15.075,mississippi
2015,0,5.645,12.971,18.616,mississippi
2016,0,5.852,13.017,18.869,mississippi
2017,0,5.927,13.041,18.968,mississippi
1980,0.007,5.867,14.294,20.167,missouri
1981,0.004,8.373,13.125,21.502,missouri
1982,0.004,5.588,13.123,18.714,missouri
1983,0.004,4.257,11.924,16.184,missouri
1984,0.059,5.067,10.563,15.69,missouri
1985,0.091,2.66,11.298,14.048,missouri
1986,0,3.919,10.053,13.972,missouri
1987,0.001,4.344,11.59,15.935,missouri
1988,0.011,4.029,13.559,17.598,missouri
1989,0.018,3.496,14.292,17.806,missouri
1990,0.044,3.324,15.61,18.978,missouri
1991,0.079,3.39,15.662,19.13,missouri
1992,0,1.903,15.523,17.427,missouri
1993,0.253,1.483,13.785,15.521,missouri
1994,0.308,1.443,14.168,15.918,missouri
1995,0.252,1.8,14.952,17.005,missouri
1996,0.34,1.504,12.899,14.743,missouri
1997,0.209,1.429,13.703,15.341,missouri
1998,0.228,1.719,15.814,17.761,missouri
1999,0.054,1.68,13.174,14.908,missouri
2000,0.047,1.816,12.504,14.367,missouri
2001,0,1.602,13.243,14.845,missouri
2002,0,1.344,12.887,14.232,missouri
2003,0,1.399,12.604,14.003,missouri
2004,0.016,1.57,12.533,14.118,missouri
2005,0.038,1.537,12.653,14.228,missouri
2006,0.003,1.181,13.264,14.448,missouri
2007,0,1.369,13.709,15.078,missouri
2008,0,1.928,13.688,15.616,missouri
2009,0,2.082,13.501,15.583,missouri
2010,0,2.632,13.441,16.073,missouri
2011,0,2.386,13.31,15.696,missouri
2012,0,2.208,13.703,15.911,missouri
2013,0,2.069,13.874,15.943,missouri
2014,0,2.108,12.968,15.075,missouri
2015,0,5.645,12.971,18.616,missouri
2016,0,5.852,13.017,18.869,missouri
2017,0,5.927,13.041,18.968,missouri
1980,0.007,5.867,14.294,20.167,montana
1981,0.004,8.373,13.125,21.502,montana
1982,0.004,5.588,13.123,18.714,montana
1983,0.004,4.257,11.924,16.184,montana
1984,0.059,5.067,10.563,15.69,montana
1985,0.091,2.66,11.298,14.048,montana
1986,0,3.919,10.053,13.972,montana
1987,0.001,4.344,11.59,15.935,montana
1988,0.011,4.029,13.559,17.598,montana
1989,0.018,3.496,14.292,17.806,montana
1990,0.044,3.324,15.61,18.978,montana
1991,0.079,3.39,15.662,19.13,montana
1992,0,1.903,15.523,17.427,montana
1993,0.253,1.483,13.785,15.521,montana
1994,0.308,1.443,14.168,15.918,montana
1995,0.252,1.8,14.952,17.005,montana
1996,0.34,1.504,12.899,14.743,montana
1997,0.209,1.429,13.703,15.341,montana
1998,0.228,1.719,15.814,17.761,montana
1999,0.054,1.68,13.174,14.908,montana
2000,0.047,1.816,12.504,14.367,montana
2001,0,1.602,13.243,14.845,montana
2002,0,1.344,12.887,14.232,montana
2003,0,1.399,12.604,14.003,montana
2004,0.016,1.57,12.533,14.118,montana
2005,0.038,1.537,12.653,14.228,montana
2006,0.003,1.181,13.264,14.448,montana
2007,0,1.369,13.709,15.078,montana
2008,0,1.928,13.688,15.616,montana
2009,0,2.082,13.501,15.583,montana
2010,0,2.632,13.441,16.073,montana
2011,0,2.386,13.31,15.696,montana
2012,0,2.208,13.703,15.911,montana
2013,0,2.069,13.874,15.943,montana
2014,0,2.108,12.968,15.075,montana
2015,0,5.645,12.971,18.616,montana
2016,0,5.852,13.017,18.869,montana
2017,0,5.927,13.041,18.968,montana
1980,0.007,5.867,14.294,20.167,nebraska
1981,0.004,8.373,13.125,21.502,nebraska
1982,0.004,5.588,13.123,18.714,nebraska
1983,0.004,4.257,11.924,16.184,nebraska
1984,0.059,5.067,10.563,15.69,nebraska
1985,0.091,2.66,11.298,14.048,nebraska
1986,0,3.919,10.053,13.972,nebraska
1987,0.001,4.344,11.59,15.935,nebraska
1988,0.011,4.029,13.559,17.598,nebraska
1989,0.018,3.496,14.292,17.806,nebraska
1990,0.044,3.324,15.61,18.978,nebraska
1991,0.079,3.39,15.662,19.13,nebraska
1992,0,1.903,15.523,17.427,nebraska
1993,0.253,1.483,13.785,15.521,nebraska
1994,0.308,1.443,14.168,15.918,nebraska
1995,0.252,1.8,14.952,17.005,nebraska
1996,0.34,1.504,12.899,14.743,nebraska
1997,0.209,1.429,13.703,15.341,nebraska
1998,0.228,1.719,15.814,17.761,nebraska
1999,0.054,1.68,13.174,14.908,nebraska
2000,0.047,1.816,12.504,14.367,nebraska
2001,0,1.602,13.243,14.845,nebraska
2002,0,1.344,12.887,14.232,nebraska
2003,0,1.399,12.604,14.003,nebraska
2004,0.016,1.57,12.533,14.118,nebraska
2005,0.038,1.537,12.653,14.228,nebraska
2006,0.003,1.181,13.264,14.448,nebraska
2007,0,1.369,13.709,15.078,nebraska
2008,0,1.928,13.688,15.616,nebraska
2009,0,2.082,13.501,15.583,nebraska
2010,0,2.632,13.441,16.073,nebraska
2011,0,2.386,13.31,15.696,nebraska
2012,0,2.208,13.703,15.911,nebraska
2013,0,2.069,13.874,15.943,nebraska
2014,0,2.108,12.968,15.075,nebraska
2015,0,5.645,12.971,18.616,nebraska
2016,0,5.852,13.017,18.869,nebraska
2017,0,5.927,13.041,18.968,nebraska
1980,0.007,5.867,14.294,20.167,nevada
1981,0.004,8.373,13.125,21.502,nevada
1982,0.004,5.588,13.123,18.714,nevada
1983,0.004,4.257,11.924,16.184,nevada
1984,0.059,5.067,10.563,15.69,nevada
1985,0.091,2.66,11.298,14.048,nevada
1986,0,3.919,10.053,13.972,nevada
1987,0.001,4.344,11.59,15.935,nevada
1988,0.011,4.029,13.559,17.598,nevada
1989,0.018,3.496,14.292,17.806,nevada
1990,0.044,3.324,15.61,18.978,nevada
1991,0.079,3.39,15.662,19.13,nevada
1992,0,1.903,15.523,17.427,nevada
1993,0.253,1.483,13.785,15.521,nevada
1994,0.308,1.443,14.168,15.918,nevada
1995,0.252,1.8,14.952,17.005,nevada
1996,0.34,1.504,12.899,14.743,nevada
1997,0.209,1.429,13.703,15.341,nevada
1998,0.228,1.719,15.814,17.761,nevada
1999,0.054,1.68,13.174,14.908,nevada
2000,0.047,1.816,12.504,14.367,nevada
2001,0,1.602,13.243,14.845,nevada
2002,0,1.344,12.887,14.232,nevada
2003,0,1.399,12.604,14.003,nevada
2004,0.016,1.57,12.533,14.118,nevada
2005,0.038,1.537,12.653,14.228,nevada
2006,0.003,1.181,13.264,14.448,nevada
2007,0,1.369,13.709,15.078,nevada
2008,0,1.928,13.688,15.616,nevada
2009,0,2.082,13.501,15.583,nevada
2010,0,2.632,13.441,16.073,nevada
2011,0,2.386,13.31,15.696,nevada
2012,0,2.208,13.703,15.911,nevada
2013,0,2.069,13.874,15.943,nevada
2014,0,2.108,12.968,15.075,nevada
2015,0,5.645,12.971,18.616,nevada
2016,0,5.852,13.017,18.869,nevada
2017,0,5.927,13.041,18.968,nevada
1980,0.007,5.867,14.294,20.167,new hampshire
1981,0.004,8.373,13.125,21.502,new hampshire
1982,0.004,5.588,13.123,18.714,new hampshire
1983,0.004,4.257,11.924,16.184,new hampshire
1984,0.059,5.067,10.563,15.69,new hampshire
1985,0.091,2.66,11.298,14.048,new hampshire
1986,0,3.919,10.053,13.972,new hampshire
1987,0.001,4.344,11.59,15.935,new hampshire
1988,0.011,4.029,13.559,17.598,new hampshire
1989,0.018,3.496,14.292,17.806,new hampshire
1990,0.044,3.324,15.61,18.978,new hampshire
1991,0.079,3.39,15.662,19.13,new hampshire
1992,0,1.903,15.523,17.427,new hampshire
1993,0.253,1.483,13.785,15.521,new hampshire
1994,0.308,1.443,14.168,15.918,new hampshire
1995,0.252,1.8,14.952,17.005,new hampshire
1996,0.34,1.504,12.899,14.743,new hampshire
1997,0.209,1.429,13.703,15.341,new hampshire
1998,0.228,1.719,15.814,17.761,new hampshire
1999,0.054,1.68,13.174,14.908,new hampshire
2000,0.047,1.816,12.504,14.367,new hampshire
2001,0,1.602,13.243,14.845,new hampshire
2002,0,1.344,12.887,14.232,new hampshire
2003,0,1.399,12.604,14.003,new hampshire
2004,0.016,1.57,12.533,14.118,new hampshire
2005,0.038,1.537,12.653,14.228,new hampshire
2006,0.003,1.181,13.264,14.448,new hampshire
2007,0,1.369,13.709,15.078,new hampshire
2008,0,1.928,13.688,15.616,new hampshire
2009,0,2.082,13.501,15.583,new hampshire
2010,0,2.632,13.441,16.073,new hampshire
2011,0,2.386,13.31,15.696,new hampshire
2012,0,2.208,13.703,15.911,new hampshire
2013,0,2.069,13.874,15.943,new hampshire
2014,0,2.108,12.968,15.075,new hampshire
2015,0,5.645,12.971,18.616,new hampshire
2016,0,5.852,13.017,18.869,new hampshire
2017,0,5.927,13.041,18.968,new hampshire
1980,0.007,5.867,14.294,20.167,new jersey
1981,0.004,8.373,13.125,21.502,new jersey
1982,0.004,5.588,13.123,18.714,new jersey
1983,0.004,4.257,11.924,16.184,new jersey
1984,0.059,5.067,10.563,15.69,new jersey
1985,0.091,2.66,11.298,14.048,new jersey
1986,0,3.919,10.053,13.972,new jersey
1987,0.001,4.344,11.59,15.935,new jersey
1988,0.011,4.029,13.559,17.598,new jersey
1989,0.018,3.496,14.292,17.806,new jersey
1990,0.044,3.324,15.61,18.978,new jersey
1991,0.079,3.39,15.662,19.13,new jersey
1992,0,1.903,15.523,17.427,new jersey
1993,0.253,1.483,13.785,15.521,new jersey
1994,0.308,1.443,14.168,15.918,new jersey
1995,0.252,1.8,14.952,17.005,new jersey
1996,0.34,1.504,12.899,14.743,new jersey
1997,0.209,1.429,13.703,15.341,new jersey
1998,0.228,1.719,15.814,17.761,new jersey
1999,0.054,1.68,13.174,14.908,new jersey
2000,0.047,1.816,12.504,14.367,new jersey
2001,0,1.602,13.243,14.845,new jersey
2002,0,1.344,12.887,14.232,new jersey
2003,0,1.399,12.604,14.003,new jersey
2004,0.016,1.57,12.533,14.118,new jersey
2005,0.038,1.537,12.653,14.228,new jersey
2006,0.003,1.181,13.264,14.448,new jersey
2007,0,1.369,13.709,15.078,new jersey
2008,0,1.928,13.688,15.616,new jersey
2009,0,2.082,13.501,15.583,new jersey
2010,0,2.632,13.441,16.073,new jersey
2011,0,2.386,13.31,15.696,new jersey
2012,0,2.208,13.703,15.911,new jersey
2013,0,2.069,13.874,15.943,new jersey
2014,0,2.108,12.968,15.075,new jersey
2015,0,5.645,12.971,18.616,new jersey
2016,0,5.852,13.017,18.869,new jersey
2017,0,5.927,13.041,18.968,new jersey
1980,0.007,5.867,14.294,20.167,new mexico
1981,0.004,8.373,13.125,21.502,new mexico
1982,0.004,5.588,13.123,18.714,new mexico
1983,0.004,4.257,11.924,16.184,new mexico
1984,0.059,5.067,10.563,15.69,new mexico
1985,0.091,2.66,11.298,14.048,new mexico
1986,0,3.919,10.053,13.972,new mexico
1987,0.001,4.344,11.59,15.935,new mexico
1988,0.011,4.029,13.559,17.598,new mexico
1989,0.018,3.496,14.292,17.806,new mexico
1990,0.044,3.324,15.61,18.978,new mexico
1991,0.079,3.39,15.662,19.13,new mexico
1992,0,1.903,15.523,17.427,new mexico
1993,0.253,1.483,13.785,15.521,new mexico
1994,0.308,1.443,14.168,15.918,new mexico
1995,0.252,1.8,14.952,17.005,new mexico
1996,0.34,1.504,12.899,14.743,new mexico
1997,0.209,1.429,13.703,15.341,new mexico
1998,0.228,1.719,15.814,17.761,new mexico
1999,0.054,1.68,13.174,14.908,new mexico
2000,0.047,1.816,12.504,14.367,new mexico
2001,0,1.602,13.243,14.845,new mexico
2002,0,1.344,12.887,14.232,new mexico
2003,0,1.399,12.604,14.003,new mexico
2004,0.016,1.57,12.533,14.118,new mexico
2005,0.038,1.537,12.653,14.228,new mexico
2006,0.003,1.181,13.264,14.448,new mexico
2007,0,1.369,13.709,15.078,new mexico
2008,0,1.928,13.688,15.616,new mexico
2009,0,2.082,13.501,15.583,new mexico
2010,0,2.632,13.441,16.073,new mexico
2011,0,2.386,13.31,15.696,new mexico
2012,0,2.208,13.703,15.911,new mexico
2013,0,2.069,13.874,15.943,new mexico
2014,0,2.108,12.968,15.075,new mexico
2015,0,5.645,12.971,18.616,new mexico
2016,0,5.852,13.017,18.869,new mexico
2017,0,5.927,13.041,18.968,new mexico
1980,0.007,5.867,14.294,20.167,new york
1981,0.004,8.373,13.125,21.502,new york
1982,0.004,5.588,13.123,18.714,new york
1983,0.004,4.257,11.924,16.184,new york
1984,0.059,5.067,10.563,15.69,new york
1985,0.091,2.66,11.298,14.048,new york
1986,0,3.919,10.053,13.972,new york
1987,0.001,4.344,11.59,15.935,new york
1988,0.011,4.029,13.559,17.598,new york
1989,0.018,3.496,14.292,17.806,new york
1990,0.044,3.324,15.61,18.978,new york
1991,0.079,3.39,15.662,19.13,new york
1992,0,1.903,15.523,17.427,new york
1993,0.253,1.483,13.785,15.521,new york
1994,0.308,1.443,14.168,15.918,new york
1995,0.252,1.8,14.952,17.005,new york
1996,0.34,1.504,12.899,14.743,new york
1997,0.209,1.429,13.703,15.341,new york
1998,0.228,1.719,15.814,17.761,new york
1999,0.054,1.68,13.174,14.908,new york
2000,0.047,1.816,12.504,14.367,new york
2001,0,1.602,13.243,14.845,new york
2002,0,1.344,12.887,14.232,new york
2003,0,1.399,12.604,14.003,new york
2004,0.016,1.57,12.533,14.118,new york
2005,0.038,1.537,12.653,14.228,new york
